date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,cloud_cover,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm
2021-06-07 00:00:00+00:00,17.647999,96.58553,17.098,19.352325,0.0,0.0,0.0,0.0,10.5,5.5887027,13.779114,284.93146,303.2749,11.5199995,19.298,0.254
2021-06-07 01:00:00+00:00,16.098,99.68151,16.048,17.09868,0.0,0.0,0.0,0.0,23.1,7.42159,10.464797,284.03625,310.81497,13.679999,19.098,0.254
2021-06-07 02:00:00+00:00,15.598,100.0,15.598,16.439842,0.0,0.0,0.0,0.0,100.0,7.2805495,5.00128,278.53067,329.74365,11.879999,18.897999,0.254
2021-06-07 03:00:00+00:00,16.298,100.0,16.298,17.833275,0.0,0.0,0.0,0.0,97.799995,4.452954,4.0249224,284.03625,26.564985,9.72,18.698,0.254
2021-06-07 04:00:00+00:00,17.147999,98.42908,16.897999,19.267359,0.0,0.0,0.0,0.0,86.100006,2.16,3.563818,270.0,44.999897,6.12,18.498,0.254
2021-06-07 05:00:00+00:00,17.897999,97.2039,17.448,20.285936,0.0,0.0,0.0,0.0,91.2,1.9386592,3.319036,291.80148,40.601215,8.64,18.348,0.254
2021-06-07 06:00:00+00:00,19.198,82.77606,16.198,21.021069,0.0,0.0,0.0,0.0,4.8,2.1897945,3.096837,9.462248,35.537766,10.440001,18.298,0.254
2021-06-07 07:00:00+00:00,20.848,72.62222,15.747999,22.356752,0.0,0.0,0.0,0.0,0.6,3.096837,3.8268526,35.537766,41.185837,13.32,18.298,0.254
2021-06-07 08:00:00+00:00,22.798,60.0719,14.648,24.270773,0.0,0.0,0.0,0.0,0.6,5.154415,6.297428,24.775122,30.963696,16.919998,18.397999,0.253
2021-06-07 09:00:00+00:00,24.098,51.552975,13.497999,25.506996,0.0,0.0,0.0,0.0,0.6,7.9036193,9.693296,30.068504,31.328646,21.24,18.598,0.253
2021-06-07 10:00:00+00:00,24.897999,45.733334,12.398,25.802269,0.0,0.0,0.0,0.0,18.0,9.085988,11.681987,33.6901,33.6901,23.4,18.848,0.252
2021-06-07 11:00:00+00:00,25.448,42.969166,11.948,26.121567,0.0,0.0,0.0,0.0,19.5,9.511088,12.594856,29.475794,30.963696,23.4,19.098,0.251
2021-06-07 12:00:00+00:00,24.948,46.808445,12.797999,25.7492,0.0,0.0,0.0,0.0,15.6,8.089993,10.163227,20.854538,22.93213,25.919998,19.298,0.254
2021-06-07 13:00:00+00:00,25.397999,44.97779,12.598,25.77198,0.0,0.0,0.0,0.0,12.0,9.565437,12.303366,19.798973,20.556128,22.68,19.548,0.253
2021-06-07 14:00:00+00:00,25.448,43.825863,12.247999,25.091722,0.0,0.0,0.0,0.0,12.6,9.504273,12.397806,24.623547,25.820946,23.039999,19.848,0.253
2021-06-07 15:00:00+00:00,25.348,44.087166,12.247999,24.706285,0.0,0.0,0.0,0.0,13.8,9.178235,12.074766,25.559923,26.564985,21.599998,20.098,0.252
2021-06-07 16:00:00+00:00,24.998,46.516594,12.747999,24.778929,0.0,0.0,0.0,0.0,6.0,7.4128532,11.4862,29.054508,32.195713,19.8,20.298,0.252
